naics,name,baseline_tradable,corrected_tradable
315225,Men's and Boys' Cut and Sew Work Clothing Manufacturing,tradable,tradable
315228,Men's and Boys' Cut and Sew Other Outerwear Manufacturing,tradable,tradable
315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing",tradable,tradable
315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing,tradable,tradable
315233,Women's and Girls' Cut and Sew Dress Manufacturing,tradable,tradable
315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing",tradable,tradable
315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing,tradable,tradable
315291,Infants' Cut and Sew Apparel Manufacturing,tradable,tradable
315292,Fur and Leather Apparel Manufacturing,tradable,tradable
315299,All Other Cut and Sew Apparel Manufacturing,tradable,tradable
315991,"Hat, Cap, and Millinery Manufacturing",tradable,tradable
315992,Glove and Mitten Manufacturing,tradable,tradable
315993,Men's and Boys' Neckwear Manufacturing,tradable,tradable
315999,Other Apparel Accessories and Other Apparel Manufacturing,tradable,tradable
316110,Leather and Hide Tanning and Finishing,tradable,tradable
316211,Rubber and Plastics Footwear Manufacturing,tradable,tradable
316212,House Slipper Manufacturing,tradable,tradable
316213,Men's Footwear (except Athletic) Manufacturing,tradable,tradable
316214,Women's Footwear (except Athletic) Manufacturing,tradable,tradable
316219,Other Footwear Manufacturing,tradable,tradable
316991,Luggage Manufacturing,tradable,tradable
316992,Women's Handbag and Purse Manufacturing,tradable,tradable
316993,Personal Leather Good (except Women's Handbag and Purse) Manufacturing,tradable,tradable
316999,All Other Leather Good and Allied Product Manufacturing,tradable,tradable
321113,Sawmills,non-tradable,non-tradable
321114,Wood Preservation,tradable,tradable
321211,Hardwood Veneer and Plywood Manufacturing,tradable,tradable
321212,Softwood Veneer and Plywood Manufacturing,tradable,tradable
321213,Engineered Wood Member (except Truss) Manufacturing,tradable,tradable
321214,Truss Manufacturing,non-tradable,non-tradable
321219,Reconstituted Wood Product Manufacturing,tradable,tradable
321911,Wood Window and Door Manufacturing,non-tradable,non-tradable
321912,"Cut Stock, Resawing Lumber, and Planing",tradable,tradable
321918,Other Millwork (including Flooring),non-tradable,non-tradable
321920,Wood Container and Pallet Manufacturing,non-tradable,non-tradable
321991,Manufactured Home (Mobile Home) Manufacturing,tradable,tradable
321992,Prefabricated Wood Building Manufacturing,tradable,tradable
321999,All Other Miscellaneous Wood Product Manufacturing,non-tradable,non-tradable
322110,Pulp Mills,tradable,tradable
322121,Paper (except Newsprint) Mills,tradable,tradable
322122,Newsprint Mills,tradable,tradable
322130,Paperboard Mills,tradable,tradable
322211,Corrugated and Solid Fiber Box Manufacturing,non-tradable,non-tradable
322212,Folding Paperboard Box Manufacturing,tradable,tradable
322213,Setup Paperboard Box Manufacturing,tradable,tradable
322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing",tradable,tradable
322215,Nonfolding Sanitary Food Container Manufacturing,tradable,tradable
322221,Coated and Laminated Packaging Paper Manufacturing,tradable,tradable
322222,Coated and Laminated Paper Manufacturing,tradable,tradable
322223,Coated Paper Bag and Pouch Manufacturing,tradable,tradable
322224,Uncoated Paper and Multiwall Bag Manufacturing,tradable,tradable
322225,Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses,tradable,tradable
322226,Surface-Coated Paperboard Manufacturing,tradable,tradable
