naics,name,baseline_tradable,corrected_tradable
561599,All Other Travel Arrangement and Reservation Services,non-tradable,non-tradable
561611,Investigation Services,non-tradable,non-tradable
561612,Security Guards and Patrol Services,non-tradable,non-tradable
561613,Armored Car Services,non-tradable,non-tradable
561621,Security Systems Services (except Locksmiths),non-tradable,non-tradable
561622,Locksmiths,non-tradable,non-tradable
561710,Exterminating and Pest Control Services,non-tradable,non-tradable
561720,Janitorial Services,non-tradable,non-tradable
561730,Landscaping Services,non-tradable,non-tradable
561740,Carpet and Upholstery Cleaning Services,non-tradable,non-tradable
561790,Other Services to Buildings and Dwellings,non-tradable,non-tradable
561910,Packaging and Labeling Services,non-tradable,non-tradable
561920,Convention and Trade Show Organizers,non-tradable,non-tradable
561990,All Other Support Services,non-tradable,non-tradable
562111,Solid Waste Collection,non-tradable,non-tradable
562112,Hazardous Waste Collection,tradable,non-tradable
562119,Other Waste Collection,non-tradable,non-tradable
562211,Hazardous Waste Treatment and Disposal,non-tradable,non-tradable
562212,Solid Waste Landfill,non-tradable,non-tradable
562213,Solid Waste Combustors and Incinerators,tradable,non-tradable
562219,Other Nonhazardous Waste Treatment and Disposal,tradable,non-tradable
562910,Remediation Services,non-tradable,non-tradable
562920,Materials Recovery Facilities,non-tradable,non-tradable
562991,Septic Tank and Related Services,non-tradable,non-tradable
562998,All Other Miscellaneous Waste Management Services,non-tradable,non-tradable
611110,Elementary and Secondary Schools,non-tradable,non-tradable
611210,Junior Colleges,non-tradable,non-tradable
611310,"Colleges, Universities, and Professional Schools",non-tradable,non-tradable
611410,Business and Secretarial Schools,tradable,non-tradable
611420,Computer Training,non-tradable,non-tradable
611430,Professional and Management Development Training,non-tradable,non-tradable
611511,Cosmetology and Barber Schools,non-tradable,non-tradable
611512,Flight Training,tradable,non-tradable
611513,Apprenticeship Training,non-tradable,non-tradable
611519,Other Technical and Trade Schools,non-tradable,non-tradable
611610,Fine Arts Schools,non-tradable,non-tradable
611620,Sports and Recreation Instruction,non-tradable,non-tradable
611630,Language Schools,tradable,non-tradable
611691,Exam Preparation and Tutoring,non-tradable,non-tradable
611692,Automobile Driving Schools,non-tradable,non-tradable
611699,All Other Miscellaneous Schools and Instruction,non-tradable,non-tradable
611710,Educational Support Services,non-tradable,non-tradable
621111,Offices of Physicians (except Mental Health Specialists),non-tradable,non-tradable
621112,"Offices of Physicians, Mental Health Specialists",non-tradable,non-tradable
621210,Offices of Dentists,non-tradable,non-tradable
621310,Offices of Chiropractors,non-tradable,non-tradable
621320,Offices of Optometrists,non-tradable,non-tradable
621330,Offices of Mental Health Practitioners (except Physicians),non-tradable,non-tradable
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",non-tradable,non-tradable
621391,Offices of Podiatrists,non-tradable,non-tradable
621399,Offices of All Other Miscellaneous Health Practitioners,non-tradable,non-tradable
621410,Family Planning Centers,non-tradable,non-tradable
621420,Outpatient Mental Health and Substance Abuse Centers,non-tradable,non-tradable
621491,HMO Medical Centers,tradable,non-tradable
621492,Kidney Dialysis Centers,non-tradable,non-tradable
621493,Freestanding Ambulatory Surgical and Emergency Centers,non-tradable,non-tradable
621498,All Other Outpatient Care Centers,non-tradable,non-tradable
621511,Medical Laboratories,non-tradable,non-tradable
621512,Diagnostic Imaging Centers,non-tradable,non-tradable
621610,Home Health Care Services,non-tradable,non-tradable
621910,Ambulance Services,non-tradable,non-tradable
621991,Blood and Organ Banks,non-tradable,non-tradable
621999,All Other Miscellaneous Ambulatory Health Care Services,non-tradable,non-tradable
622110,General Medical and Surgical Hospitals,non-tradable,non-tradable
622210,Psychiatric and Substance Abuse Hospitals,tradable,tradable
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,tradable,tradable
623110,Nursing Care Facilities,non-tradable,non-tradable
623210,Residential Mental Retardation Facilities,non-tradable,non-tradable
623220,Residential Mental Health and Substance Abuse Facilities,non-tradable,non-tradable
623311,Continuing Care Retirement Communities,non-tradable,non-tradable
623312,Homes for the Elderly,non-tradable,non-tradable
623990,Other Residential Care Facilities,non-tradable,non-tradable
624110,Child and Youth Services,non-tradable,non-tradable
624120,Services for the Elderly and Persons with Disabilities,non-tradable,non-tradable
624190,Other Individual and Family Services,non-tradable,non-tradable
624210,Community Food Services,non-tradable,non-tradable
624221,Temporary Shelters,non-tradable,non-tradable
624229,Other Community Housing Services,non-tradable,non-tradable
624230,Emergency and Other Relief Services,non-tradable,non-tradable
624310,Vocational Rehabilitation Services,non-tradable,non-tradable
624410,Child Day Care Services,non-tradable,non-tradable
711110,Theater Companies and Dinner Theaters,non-tradable,non-tradable
711120,Dance Companies,tradable,non-tradable
711130,Musical Groups and Artists,non-tradable,non-tradable
711190,Other Performing Arts Companies,tradable,non-tradable
711211,Sports Teams and Clubs,tradable,non-tradable
711212,Racetracks,non-tradable,non-tradable
711219,Other Spectator Sports,non-tradable,non-tradable
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",non-tradable,non-tradable
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",non-tradable,non-tradable
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",tradable,tradable
711510," Independent Artists, Writers, and Performers",non-tradable,mixed
712110,Museums,non-tradable,non-tradable
712120,Historical Sites,non-tradable,non-tradable
712130,Zoos and Botanical Gardens,tradable,non-tradable
712190,Nature Parks and Other Similar Institutions,non-tradable,non-tradable
713110,Amusement and Theme Parks,tradable,non-tradable
713120,Amusement Arcades,non-tradable,non-tradable
713210,Casinos (except Casino Hotels),tradable,non-tradable
713290,Other Gambling Industries,non-tradable,non-tradable
713910,Golf Courses and Country Clubs,non-tradable,non-tradable
713920,Skiing Facilities,tradable,non-tradable
713930,Marinas,non-tradable,non-tradable
713940,Fitness and Recreational Sports Centers,non-tradable,non-tradable
713950,Bowling Centers,non-tradable,non-tradable
713990,All Other Amusement and Recreation Industries,non-tradable,non-tradable
721110,Hotels (except Casino Hotels) and Motels,non-tradable,non-tradable
721120,Casino Hotels,tradable,non-tradable
721191,Bed-and-Breakfast Inns,non-tradable,non-tradable
721199,All Other Traveler Accommodation,tradable,non-tradable
721211,RV (Recreational Vehicle) Parks and Campgrounds,non-tradable,non-tradable
721214,Recreational and Vacation Camps (except Campgrounds),non-tradable,non-tradable
721310,Rooming and Boarding Houses,non-tradable,non-tradable
722110,Full-Service Restaurants,non-tradable,non-tradable
722211,Limited-Service Restaurants,non-tradable,non-tradable
722212,"Cafeterias, Grill Buffets, and Buffets",non-tradable,non-tradable
722213,Snack and Nonalcoholic Beverage Bars,non-tradable,non-tradable
722310,Food Service Contractors,non-tradable,non-tradable
722320,Caterers,non-tradable,non-tradable
722330,Mobile Food Services,non-tradable,non-tradable
722410,Drinking Places (Alcoholic Beverages),non-tradable,non-tradable
811111,General Automotive Repair,non-tradable,non-tradable
811112,Automotive Exhaust System Repair,non-tradable,non-tradable
811113,Automotive Transmission Repair,non-tradable,non-tradable
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,non-tradable,non-tradable
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",non-tradable,non-tradable
811122,Automotive Glass Replacement Shops,non-tradable,non-tradable
811191,Automotive Oil Change and Lubrication Shops,non-tradable,non-tradable
811192,Car Washes,non-tradable,non-tradable
811198,All Other Automotive Repair and Maintenance,non-tradable,non-tradable
811211,Consumer Electronics Repair and Maintenance,non-tradable,non-tradable
811212,Computer and Office Machine Repair and Maintenance,non-tradable,non-tradable
811213,Communication Equipment Repair and Maintenance,non-tradable,non-tradable
811219,Other Electronic and Precision Equipment Repair and Maintenance,non-tradable,non-tradable
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,non-tradable,non-tradable
811411,Home and Garden Equipment Repair and Maintenance,non-tradable,non-tradable
811412,Appliance Repair and Maintenance,non-tradable,non-tradable
811420,Reupholstery and Furniture Repair,non-tradable,non-tradable
811430,Footwear and Leather Goods Repair,tradable,non-tradable
811490,Other Personal and Household Goods Repair and Maintenance,non-tradable,non-tradable
812111,Barber Shops,non-tradable,non-tradable
812112,Beauty Salons,non-tradable,non-tradable
812113,Nail Salons,non-tradable,non-tradable
812191,Diet and Weight Reducing Centers,non-tradable,non-tradable
812199,Other Personal Care Services,non-tradable,non-tradable
812210,Funeral Homes and Funeral Services,non-tradable,non-tradable
812220,Cemeteries and Crematories,non-tradable,non-tradable
812310,Coin-Operated Laundries and Drycleaners,non-tradable,non-tradable
812320,Drycleaning and Laundry Services (except Coin-Operated),non-tradable,non-tradable
812331,Linen Supply,non-tradable,non-tradable
812332,Industrial Launderers,non-tradable,non-tradable
812910,Pet Care (except Veterinary) Services,non-tradable,non-tradable
812921,Photofinishing Laboratories (except One-Hour),tradable,non-tradable
812922,One-Hour Photofinishing,tradable,non-tradable
812930,Parking Lots and Garages,non-tradable,non-tradable
812990,All Other Personal Services,non-tradable,non-tradable
813110,Religious Organizations,non-tradable,non-tradable
813211,Grantmaking Foundations,non-tradable,non-tradable
813212,Voluntary Health Organizations,non-tradable,non-tradable
813219,Other Grantmaking and Giving Services,non-tradable,non-tradable
813311,Human Rights Organizations,non-tradable,non-tradable
813312,"Environment, Conservation and Wildlife Organizations",non-tradable,non-tradable
813319,Other Social Advocacy Organizations,non-tradable,non-tradable
813410,Civic and Social Organizations,non-tradable,non-tradable
813910,Business Associations,non-tradable,non-tradable
813920,Professional Organizations,non-tradable,non-tradable
813930,Labor Unions and Similar Labor Organizations,non-tradable,non-tradable
813940,Political Organizations,non-tradable,non-tradable
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",non-tradable,non-tradable
